,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
111,ACHV,8.0,1.0,0.0,0.0,8.0,Unpredictable
469,SINT,8.0,1.0,0.0,0.0,8.0,Unpredictable
519,AYTU,8.0,1.0,0.0,0.0,8.0,Unpredictable
106,ERI,8.0,1.0,0.0,0.0,8.0,Unpredictable
368,XLI,4.0,0.5,4.0,0.5,8.0,Unpredictable
30,DADA,8.0,1.0,0.0,0.0,8.0,Unpredictable
432,LMT,7.0,0.875,1.0,0.125,8.0,Unpredictable
422,GENE,8.0,1.0,0.0,0.0,8.0,Unpredictable
966,MCRB,7.0,0.875,1.0,0.125,8.0,Unpredictable
754,EA,7.0,0.875,1.0,0.125,8.0,Unpredictable
655,AUY,8.0,1.0,0.0,0.0,8.0,Unpredictable
306,CRON,8.0,1.0,0.0,0.0,8.0,Unpredictable
1010,RIG,1.0,0.125,7.0,0.875,8.0,Unpredictable
83,BBBY,6.0,0.75,2.0,0.25,8.0,Unpredictable
153,PT,8.0,1.0,0.0,0.0,8.0,Unpredictable
149,BIOC,8.0,1.0,0.0,0.0,8.0,Unpredictable
278,WPX,7.0,1.0,0.0,0.0,7.0,Unpredictable
65,MRK,7.0,1.0,0.0,0.0,7.0,Unpredictable
109,VBIV,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
108,HOFV,7.0,1.0,0.0,0.0,7.0,Unpredictable
420,BTC,4.0,0.5714285714285714,3.0,0.42857142857142855,7.0,Unpredictable
360,Z,4.0,0.5714285714285714,3.0,0.42857142857142855,7.0,Unpredictable
181,NOW,3.0,0.42857142857142855,4.0,0.5714285714285714,7.0,Unpredictable
959,VIXY,5.0,0.7142857142857143,2.0,0.2857142857142857,7.0,Unpredictable
630,VZ,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
231,CMA,7.0,1.0,0.0,0.0,7.0,Unpredictable
314,PLAY,4.0,0.5714285714285714,3.0,0.42857142857142855,7.0,Unpredictable
601,MIST,7.0,1.0,0.0,0.0,7.0,Unpredictable
55,BGFV,7.0,1.0,0.0,0.0,7.0,Unpredictable
87,WBA,7.0,1.0,0.0,0.0,7.0,Unpredictable
309,FAZ,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
500,DDOG,3.0,0.42857142857142855,4.0,0.5714285714285714,7.0,Unpredictable
957,CPE,7.0,1.0,0.0,0.0,7.0,Unpredictable
409,DJI,5.0,0.7142857142857143,2.0,0.2857142857142857,7.0,Unpredictable
148,TTOO,7.0,1.0,0.0,0.0,7.0,Unpredictable
454,SWBI,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
738,MDB,7.0,1.0,0.0,0.0,7.0,Unpredictable
612,APLE,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
235,BLK,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
451,DGLY,7.0,1.0,0.0,0.0,7.0,Unpredictable
336,AVGO,6.0,1.0,0.0,0.0,6.0,Unpredictable
102,SPR,6.0,1.0,0.0,0.0,6.0,Unpredictable
613,CLX,6.0,1.0,0.0,0.0,6.0,Unpredictable
614,SPLK,6.0,1.0,0.0,0.0,6.0,Unpredictable
337,TXN,3.0,0.5,3.0,0.5,6.0,Unpredictable
326,XLV,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
631,OTRK,6.0,1.0,0.0,0.0,6.0,Unpredictable
645,WLL,6.0,1.0,0.0,0.0,6.0,Unpredictable
728,BLNK,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
623,TRIN,3.0,0.5,3.0,0.5,6.0,Unpredictable
1023,QQQM,0.0,0.0,6.0,1.0,6.0,Unpredictable
164,COMP,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
472,DHI,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
837,PLNT,2.0,0.3333333333333333,4.0,0.6666666666666666,6.0,Unpredictable
207,FCEL,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
899,TZA,2.0,0.3333333333333333,4.0,0.6666666666666666,6.0,Unpredictable
407,UNH,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
445,IVR,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
227,OXY,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
59,MA,6.0,1.0,0.0,0.0,6.0,Unpredictable
486,SMH,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
236,DDS,6.0,1.0,0.0,0.0,6.0,Unpredictable
740,S,6.0,1.0,0.0,0.0,6.0,Unpredictable
531,ZYNE,6.0,1.0,0.0,0.0,6.0,Unpredictable
353,ECOR,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
127,UPWK,6.0,1.0,0.0,0.0,6.0,Unpredictable
26,APT,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
774,NOK,6.0,1.0,0.0,0.0,6.0,Unpredictable
555,GPRO,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
385,RIGL,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
496,ADMA,5.0,1.0,0.0,0.0,5.0,Unpredictable
350,EQ,5.0,1.0,0.0,0.0,5.0,Unpredictable
574,KR,3.0,0.6,2.0,0.4,5.0,Unpredictable
510,SIL,4.0,0.8,1.0,0.2,5.0,Unpredictable
459,VMW,5.0,1.0,0.0,0.0,5.0,Unpredictable
453,RGR,5.0,1.0,0.0,0.0,5.0,Unpredictable
591,CRM,5.0,1.0,0.0,0.0,5.0,Unpredictable
349,ARKK,5.0,1.0,0.0,0.0,5.0,Unpredictable
458,DELL,4.0,0.8,1.0,0.2,5.0,Unpredictable
430,CDEV,5.0,1.0,0.0,0.0,5.0,Unpredictable
499,XLU,5.0,1.0,0.0,0.0,5.0,Unpredictable
476,MARK,5.0,1.0,0.0,0.0,5.0,Unpredictable
427,LK,1.0,0.2,4.0,0.8,5.0,Unpredictable
342,ARKQ,5.0,1.0,0.0,0.0,5.0,Unpredictable
332,WW,5.0,1.0,0.0,0.0,5.0,Unpredictable
424,AYX,2.0,0.4,3.0,0.6,5.0,Unpredictable
576,AXP,5.0,1.0,0.0,0.0,5.0,Unpredictable
222,SE,5.0,1.0,0.0,0.0,5.0,Unpredictable
287,IZEA,5.0,1.0,0.0,0.0,5.0,Unpredictable
204,WIMI,4.0,0.8,1.0,0.2,5.0,Unpredictable
245,VSTM,5.0,1.0,0.0,0.0,5.0,Unpredictable
244,LOW,5.0,1.0,0.0,0.0,5.0,Unpredictable
782,IT,5.0,1.0,0.0,0.0,5.0,Unpredictable
775,PINS,5.0,1.0,0.0,0.0,5.0,Unpredictable
71,ABIO,5.0,1.0,0.0,0.0,5.0,Unpredictable
653,FNGU,5.0,1.0,0.0,0.0,5.0,Unpredictable
119,FEYE,5.0,1.0,0.0,0.0,5.0,Unpredictable
693,SCKT,5.0,1.0,0.0,0.0,5.0,Unpredictable
639,TTCM,5.0,1.0,0.0,0.0,5.0,Unpredictable
841,HEAR,5.0,1.0,0.0,0.0,5.0,Unpredictable
89,FDN,5.0,1.0,0.0,0.0,5.0,Unpredictable
56,SIX,5.0,1.0,0.0,0.0,5.0,Unpredictable
816,ADT,5.0,1.0,0.0,0.0,5.0,Unpredictable
136,O,5.0,1.0,0.0,0.0,5.0,Unpredictable
864,MAXR,4.0,0.8,1.0,0.2,5.0,Unpredictable
