,User,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
688,TheBigSmoke,21.0,0.42857142857142855,28.0,0.5714285714285714,49.0,Unpredictable
34,fangtooth,49.0,1.0,0.0,0.0,49.0,Bullish
1252,cageboi5416,44.0,0.9166666666666666,4.0,0.08333333333333333,48.0,Bullish
371,Momchilb,37.0,0.7708333333333334,11.0,0.22916666666666666,48.0,Unpredictable
54,SwingBatter23,15.0,0.3125,33.0,0.6875,48.0,Unpredictable
149,Tooclutch4you,48.0,1.0,0.0,0.0,48.0,Bullish
1227,alexgarciaa16,24.0,0.5106382978723404,23.0,0.48936170212765956,47.0,Unpredictable
181,Khaki,13.0,0.2765957446808511,34.0,0.723404255319149,47.0,Unpredictable
2035,matth3w,46.0,1.0,0.0,0.0,46.0,Bullish
3494,RinVN,44.0,0.9565217391304348,2.0,0.043478260869565216,46.0,Bullish
4248,garyseeseverything,0.0,0.0,46.0,1.0,46.0,Bearish
4203,roni76,0.0,0.0,46.0,1.0,46.0,Bearish
790,KurodaSenpai,46.0,1.0,0.0,0.0,46.0,Bullish
4214,SHoot85,0.0,0.0,46.0,1.0,46.0,Bearish
107,SPG565,46.0,1.0,0.0,0.0,46.0,Bullish
4337,k_m_k,0.0,0.0,45.0,1.0,45.0,Bearish
1293,realDavidRossgold,41.0,0.9111111111111111,4.0,0.08888888888888889,45.0,Bullish
1572,TCLutz,44.0,1.0,0.0,0.0,44.0,Bullish
678,Diya551,42.0,0.9545454545454546,2.0,0.045454545454545456,44.0,Bullish
138,live2lose,44.0,1.0,0.0,0.0,44.0,Bullish
4354,RidgeLivin,0.0,0.0,43.0,1.0,43.0,Bearish
213,OptionKillah,43.0,1.0,0.0,0.0,43.0,Bullish
271,Traders_Den,43.0,1.0,0.0,0.0,43.0,Bullish
114,ExpertFellow,43.0,1.0,0.0,0.0,43.0,Bullish
660,Escobar191,42.0,1.0,0.0,0.0,42.0,Bullish
2735,GregoTop,1.0,0.023809523809523808,41.0,0.9761904761904762,42.0,Bearish
135,Floydjimenez465,41.0,0.9761904761904762,1.0,0.023809523809523808,42.0,Bullish
147,Incredible_Hulk_trading,41.0,0.9761904761904762,1.0,0.023809523809523808,42.0,Bullish
1090,Juancruz94,1.0,0.023809523809523808,41.0,0.9761904761904762,42.0,Bearish
2019,Call_Me_Put,15.0,0.36585365853658536,26.0,0.6341463414634146,41.0,Unpredictable
1368,BathtubJim,1.0,0.024390243902439025,40.0,0.975609756097561,41.0,Bearish
2294,fingmarkettrader,8.0,0.1951219512195122,33.0,0.8048780487804879,41.0,Bearish
1843,TheJewSam,12.0,0.2926829268292683,29.0,0.7073170731707317,41.0,Unpredictable
4396,_Professor,0.0,0.0,41.0,1.0,41.0,Bearish
4369,bandab,0.0,0.0,40.0,1.0,40.0,Bearish
2432,adoytech,40.0,1.0,0.0,0.0,40.0,Bullish
294,option__Trader,6.0,0.15,34.0,0.85,40.0,Bearish
66,40for2Hours,40.0,1.0,0.0,0.0,40.0,Bullish
4345,brooknyc,0.0,0.0,40.0,1.0,40.0,Bearish
3476,afernandez321,5.0,0.125,35.0,0.875,40.0,Bearish
46,EServ,39.0,1.0,0.0,0.0,39.0,Bullish
407,vmur2000,39.0,1.0,0.0,0.0,39.0,Bullish
3769,LittlSecy,1.0,0.02564102564102564,38.0,0.9743589743589743,39.0,Bearish
290,eaglehr,38.0,0.9743589743589743,1.0,0.02564102564102564,39.0,Bullish
4365,GoldDoubleEagle,0.0,0.0,38.0,1.0,38.0,Bearish
1206,Frankie100,38.0,1.0,0.0,0.0,38.0,Bullish
2670,DEANofTrades,10.0,0.2631578947368421,28.0,0.7368421052631579,38.0,Unpredictable
3000,ohiomillionaire4,16.0,0.42105263157894735,22.0,0.5789473684210527,38.0,Unpredictable
850,DaBearSlayer,38.0,1.0,0.0,0.0,38.0,Bullish
1716,WiseOnion,10.0,0.2702702702702703,27.0,0.7297297297297297,37.0,Unpredictable
4436,igggy101,0.0,0.0,37.0,1.0,37.0,Bearish
849,FearEatsTheSoul,36.0,0.972972972972973,1.0,0.02702702702702703,37.0,Bullish
284,bighaas,36.0,0.972972972972973,1.0,0.02702702702702703,37.0,Bullish
869,ade95,18.0,0.4864864864864865,19.0,0.5135135135135135,37.0,Unpredictable
151,Number5goingfor6,37.0,1.0,0.0,0.0,37.0,Bullish
443,cal1928,36.0,1.0,0.0,0.0,36.0,Bullish
18,harrysown,36.0,1.0,0.0,0.0,36.0,Bullish
401,HeyCookieMonster,36.0,1.0,0.0,0.0,36.0,Bullish
1122,tickertutor,6.0,0.16666666666666666,30.0,0.8333333333333334,36.0,Bearish
4358,imthedude79,0.0,0.0,35.0,1.0,35.0,Bearish
4541,calin81,0.0,0.0,35.0,1.0,35.0,Bearish
650,armandhammer,23.0,0.6571428571428571,12.0,0.34285714285714286,35.0,Unpredictable
3637,TradingForLater92,4.0,0.11428571428571428,31.0,0.8857142857142857,35.0,Bearish
635,Options_playaa,14.0,0.4117647058823529,20.0,0.5882352941176471,34.0,Unpredictable
3084,MaxCreativeInvesting,11.0,0.3235294117647059,23.0,0.6764705882352942,34.0,Unpredictable
1110,babyblowfish,3.0,0.08823529411764706,31.0,0.9117647058823529,34.0,Bearish
2096,hedgegram,32.0,0.9411764705882353,2.0,0.058823529411764705,34.0,Bullish
167,IPOBox,29.0,0.8529411764705882,5.0,0.14705882352941177,34.0,Bullish
3078,resq1,1.0,0.029411764705882353,33.0,0.9705882352941176,34.0,Bearish
697,OmegaCapital,1.0,0.030303030303030304,32.0,0.9696969696969697,33.0,Bearish
3867,Positiveandfocused,1.0,0.030303030303030304,32.0,0.9696969696969697,33.0,Bearish
92,FactSheets,30.0,0.9090909090909091,3.0,0.09090909090909091,33.0,Bullish
2557,SaintCent,2.0,0.06060606060606061,31.0,0.9393939393939394,33.0,Bearish
3288,PutOrCallOption,33.0,1.0,0.0,0.0,33.0,Bullish
56,Who_Am_I,33.0,1.0,0.0,0.0,33.0,Bullish
52,DueDiligence,25.0,0.78125,7.0,0.21875,32.0,Unpredictable
76,FlowTraderTM,32.0,1.0,0.0,0.0,32.0,Bullish
45,ChestnutFan,32.0,1.0,0.0,0.0,32.0,Bullish
4548,youngtrendsetter,0.0,0.0,32.0,1.0,32.0,Bearish
4229,ieatlightbulbs,0.0,0.0,32.0,1.0,32.0,Bearish
