,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
61,$FMCI,7.0,1.0,0.0,0.0,7.0,Unpredictable
357,$ACB,7.0,1.0,0.0,0.0,7.0,Unpredictable
463,$WPX,7.0,1.0,0.0,0.0,7.0,Unpredictable
444,$65,5.0,0.7142857142857143,2.0,0.2857142857142857,7.0,Unpredictable
86,$PYPL,6.0,0.8571428571428571,1.0,0.14285714285714285,7.0,Unpredictable
439,$IBB,6.0,1.0,0.0,0.0,6.0,Unpredictable
362,$XOM,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
45,$FED,6.0,1.0,0.0,0.0,6.0,Unpredictable
817,$SINT,6.0,1.0,0.0,0.0,6.0,Unpredictable
318,$285,2.0,0.3333333333333333,4.0,0.6666666666666666,6.0,Unpredictable
1043,$256,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
606,$HTZ,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
89,$KO,6.0,1.0,0.0,0.0,6.0,Unpredictable
325,$1500,3.0,0.5,3.0,0.5,6.0,Unpredictable
354,$MJ,6.0,1.0,0.0,0.0,6.0,Unpredictable
577,$HD,2.0,0.3333333333333333,4.0,0.6666666666666666,6.0,Unpredictable
762,$420,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
516,$MO,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
574,$TXN,3.0,0.5,3.0,0.5,6.0,Unpredictable
709,$TSM,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
1019,$600,2.0,0.3333333333333333,4.0,0.6666666666666666,6.0,Unpredictable
637,$CEMI,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
138,$JETS,5.0,0.8333333333333334,1.0,0.16666666666666666,6.0,Unpredictable
184,$SBUX,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
145,$HOFV,6.0,1.0,0.0,0.0,6.0,Unpredictable
1000,$ZYNE,6.0,1.0,0.0,0.0,6.0,Unpredictable
628,$MVIS,6.0,1.0,0.0,0.0,6.0,Unpredictable
132,$COST,6.0,1.0,0.0,0.0,6.0,Unpredictable
976,$139.10,6.0,1.0,0.0,0.0,6.0,Unpredictable
622,$XLI,2.0,0.3333333333333333,4.0,0.6666666666666666,6.0,Unpredictable
1213,$VTI,1.0,0.16666666666666666,5.0,0.8333333333333334,6.0,Unpredictable
13,$DOGE.X,6.0,1.0,0.0,0.0,6.0,Unpredictable
647,$RIGL,4.0,0.6666666666666666,2.0,0.3333333333333333,6.0,Unpredictable
538,$55,2.0,0.3333333333333333,4.0,0.6666666666666666,6.0,Unpredictable
400,$QQQ.,1.0,0.16666666666666666,5.0,0.8333333333333334,6.0,Unpredictable
888,$NOVN,6.0,1.0,0.0,0.0,6.0,Unpredictable
268,$120,2.0,0.4,3.0,0.6,5.0,Unpredictable
21,$MDCA,5.0,1.0,0.0,0.0,5.0,Unpredictable
399,$ETH.X,4.0,0.8,1.0,0.2,5.0,Unpredictable
75,$40,4.0,0.8,1.0,0.2,5.0,Unpredictable
726,$57,5.0,1.0,0.0,0.0,5.0,Unpredictable
1491,$79000,0.0,0.0,5.0,1.0,5.0,Unpredictable
284,$0,3.0,0.6,2.0,0.4,5.0,Unpredictable
1197,$MIST,5.0,1.0,0.0,0.0,5.0,Unpredictable
248,$NUGT,4.0,0.8,1.0,0.2,5.0,Unpredictable
731,$1200,3.0,0.6,2.0,0.4,5.0,Unpredictable
76,$260,2.0,0.4,3.0,0.6,5.0,Unpredictable
361,$OSTK,5.0,1.0,0.0,0.0,5.0,Unpredictable
599,$EQ,5.0,1.0,0.0,0.0,5.0,Unpredictable
171,$UPWK,5.0,1.0,0.0,0.0,5.0,Unpredictable
509,$PLAY,2.0,0.4,3.0,0.6,5.0,Unpredictable
35,$AIM,5.0,1.0,0.0,0.0,5.0,Unpredictable
1016,$PCG,3.0,0.6,2.0,0.4,5.0,Unpredictable
183,$SOXX,5.0,1.0,0.0,0.0,5.0,Unpredictable
136,$380,4.0,0.8,1.0,0.2,5.0,Unpredictable
981,$12.05,5.0,1.0,0.0,0.0,5.0,Unpredictable
980,$18.10,5.0,1.0,0.0,0.0,5.0,Unpredictable
979,$17.40,5.0,1.0,0.0,0.0,5.0,Unpredictable
978,$15.99,5.0,1.0,0.0,0.0,5.0,Unpredictable
944,$LQD,5.0,1.0,0.0,0.0,5.0,Unpredictable
376,$CMA,5.0,1.0,0.0,0.0,5.0,Unpredictable
334,$WIMI,4.0,0.8,1.0,0.2,5.0,Unpredictable
210,$CVX,5.0,1.0,0.0,0.0,5.0,Unpredictable
451,$RUTX,5.0,1.0,0.0,0.0,5.0,Unpredictable
445,$150,5.0,1.0,0.0,0.0,5.0,Unpredictable
1048,$NAK,4.0,0.8,1.0,0.2,5.0,Unpredictable
218,$317,3.0,0.6,2.0,0.4,5.0,Unpredictable
154,$314,2.0,0.4,3.0,0.6,5.0,Unpredictable
795,$DELL,4.0,0.8,1.0,0.2,5.0,Unpredictable
114,$CMCSA,5.0,1.0,0.0,0.0,5.0,Unpredictable
