,Word,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
668,target,76.0,0.5547445255474452,61.0,0.44525547445255476,137.0,Unpredictable
1940,coronavirus,48.0,0.35036496350364965,89.0,0.6496350364963503,137.0,Unpredictable
128,job,52.0,0.38235294117647056,84.0,0.6176470588235294,136.0,Unpredictable
54,trap,71.0,0.5220588235294118,65.0,0.47794117647058826,136.0,Unpredictable
296,million,66.0,0.4852941176470588,70.0,0.5147058823529411,136.0,Unpredictable
1191,add,96.0,0.7111111111111111,39.0,0.28888888888888886,135.0,Unpredictable
75,believe,68.0,0.5037037037037037,67.0,0.4962962962962963,135.0,Unpredictable
95,account,89.0,0.664179104477612,45.0,0.3358208955223881,134.0,Unpredictable
282,american,91.0,0.6791044776119403,43.0,0.3208955223880597,134.0,Unpredictable
112,ll,73.0,0.5447761194029851,61.0,0.4552238805970149,134.0,Unpredictable
158,breakout,111.0,0.8409090909090909,21.0,0.1590909090909091,132.0,Bullish
96,little,87.0,0.6641221374045801,44.0,0.33587786259541985,131.0,Unpredictable
1192,dollar,57.0,0.4351145038167939,74.0,0.5648854961832062,131.0,Unpredictable
888,position,70.0,0.5384615384615384,60.0,0.46153846153846156,130.0,Unpredictable
147,easy,88.0,0.676923076923077,42.0,0.3230769230769231,130.0,Unpredictable
198,talk,82.0,0.6356589147286822,47.0,0.3643410852713178,129.0,Unpredictable
106,turn,74.0,0.5736434108527132,55.0,0.4263565891472868,129.0,Unpredictable
280,limit,38.0,0.30158730158730157,88.0,0.6984126984126984,126.0,Unpredictable
214,oh,66.0,0.528,59.0,0.472,125.0,Unpredictable
360,matter,59.0,0.472,66.0,0.528,125.0,Unpredictable
1161,resistance,84.0,0.672,41.0,0.328,125.0,Unpredictable
891,squeeze,115.0,0.92,10.0,0.08,125.0,Bullish
328,mask,51.0,0.4112903225806452,73.0,0.5887096774193549,124.0,Unpredictable
199,nice,89.0,0.717741935483871,35.0,0.28225806451612906,124.0,Unpredictable
429,july,62.0,0.5,62.0,0.5,124.0,Unpredictable
734,record,54.0,0.43902439024390244,69.0,0.5609756097560976,123.0,Unpredictable
456,help,76.0,0.628099173553719,45.0,0.371900826446281,121.0,Unpredictable
242,large,66.0,0.5546218487394958,53.0,0.44537815126050423,119.0,Unpredictable
505,please,51.0,0.42857142857142855,68.0,0.5714285714285714,119.0,Unpredictable
541,almost,57.0,0.4789915966386555,62.0,0.5210084033613446,119.0,Unpredictable
186,small,79.0,0.6694915254237288,39.0,0.3305084745762712,118.0,Unpredictable
302,load,77.0,0.652542372881356,41.0,0.3474576271186441,118.0,Unpredictable
1009,seem,69.0,0.5847457627118644,49.0,0.4152542372881356,118.0,Unpredictable
460,cnbc,44.0,0.3793103448275862,72.0,0.6206896551724138,116.0,Unpredictable
517,man,59.0,0.5130434782608696,56.0,0.48695652173913045,115.0,Unpredictable
87,trend,77.0,0.6695652173913044,38.0,0.33043478260869563,115.0,Unpredictable
1015,care,54.0,0.46956521739130436,61.0,0.5304347826086957,115.0,Unpredictable
1566,line,67.0,0.5877192982456141,47.0,0.41228070175438597,114.0,Unpredictable
175,tesla,71.0,0.6283185840707964,42.0,0.37168141592920356,113.0,Unpredictable
423,stonks,86.0,0.7610619469026548,27.0,0.23893805309734514,113.0,Unpredictable
789,pop,51.0,0.45132743362831856,62.0,0.5486725663716814,113.0,Unpredictable
57,fake,50.0,0.44642857142857145,62.0,0.5535714285714286,112.0,Unpredictable
1804,florida,25.0,0.22522522522522523,86.0,0.7747747747747747,111.0,Unpredictable
393,retail,49.0,0.44144144144144143,62.0,0.5585585585585585,111.0,Unpredictable
1517,leave,61.0,0.5545454545454546,49.0,0.44545454545454544,110.0,Unpredictable
266,dont,64.0,0.5818181818181818,46.0,0.41818181818181815,110.0,Unpredictable
1246,something,55.0,0.5,55.0,0.5,110.0,Unpredictable
500,candle,58.0,0.5272727272727272,52.0,0.4727272727272727,110.0,Unpredictable
671,crazy,70.0,0.6422018348623854,39.0,0.3577981651376147,109.0,Unpredictable
1087,wow,64.0,0.5925925925925926,44.0,0.4074074074074074,108.0,Unpredictable
418,unemployment,28.0,0.25925925925925924,80.0,0.7407407407407407,108.0,Unpredictable
961,print,57.0,0.5377358490566038,49.0,0.46226415094339623,106.0,Unpredictable
77,lmao,48.0,0.4528301886792453,58.0,0.5471698113207547,106.0,Unpredictable
